108372,0,left
108372,0,right
110940,1,left
110940,1,right
119906,0,left
119906,0,right
121007,0,left
121007,0,right
123794,0,left
123794,0,right
125787,1,left
125787,1,right
136345,1,left
136345,1,right
136846,1,left
136846,1,right
137345,1,left
137345,1,right
137726,0,left
137726,0,right
144040,1,left
144040,1,right
145680,1,left
145680,1,right
150649,0,left
150649,0,right
155712,0,left
155712,0,right
157746,0,left
157746,0,right
160209,0,left
160209,0,right
170538,0,left
170538,0,right
174982,0,left
174982,0,right
175448,0,left
175448,0,right
179886,0,left
179886,0,right
180215,1,left
180215,1,right
185214,0,left
185214,0,right
185584,0,left
185584,0,right
187985,1,left
187985,1,right
191896,0,left
191896,0,right
203778,1,left
203778,1,right
212396,0,left
212396,0,right
214001,1,left
214001,1,right
214769,0,left
214769,0,right
216477,0,left
216477,0,right
231287,1,left
231287,1,right
237123,0,left
237123,0,right
252848,1,left
252848,1,right
253173,1,left
253173,1,right
261279,1,left
261279,1,right
262343,1,left
262343,1,right
269738,1,left
269738,1,right
288579,0,left
288579,0,right
291809,1,left
291809,1,right
297615,0,left
297615,0,right
302575,0,left
302575,0,right
303247,1,left
303247,1,right
308828,0,left
308828,0,right
309070,1,left
309070,1,right
309488,0,left
309488,0,right
315149,1,left
315149,1,right
315752,1,left
315752,1,right
320613,1,left
320613,1,right
323623,0,left
323623,0,right
330526,1,left
330526,1,right
336398,1,left
336398,1,right
338874,1,left
338874,1,right
350013,1,left
350013,1,right
357084,1,left
357084,1,right
370683,1,left
370683,1,right
373485,1,left
373485,1,right
388210,1,left
388210,1,right
395301,0,left
395301,0,right
396346,0,left
396346,0,right
404970,1,left
404970,1,right
417410,0,left
417410,0,right
429591,1,left
429591,1,right
430661,1,left
430661,1,right
454870,1,left
454870,1,right
460612,1,left
460612,1,right
462426,1,left
462426,1,right
463809,1,left
463809,1,right
465514,1,left
465514,1,right
472502,1,left
472502,1,right
476400,1,left
476400,1,right
478890,1,left
478890,1,right
488284,1,left
488284,1,right
490022,1,left
490022,1,right
493654,0,left
493654,0,right
501340,1,left
501340,1,right
508991,0,left
508991,0,right
510234,1,left
510234,1,right
510465,0,left
510465,0,right
516605,0,left
516605,0,right
530721,1,left
530721,1,right
535249,1,left
535249,1,right
540042,1,left
540042,1,right
549967,1,left
549967,1,right
551837,1,left
551837,1,right
554097,1,left
554097,1,right
564733,0,left
564733,0,right
565029,0,left
565029,0,right
568175,1,left
568175,1,right
570888,1,left
570888,1,right
572121,1,left
572121,1,right
574458,0,left
574458,0,right
581931,1,left
581931,1,right
584746,0,left
584746,0,right
588132,1,left
588132,1,right
607757,1,left
607757,1,right
608482,1,left
608482,1,right
613004,0,left
613004,0,right
638375,0,left
638375,0,right
641078,1,left
641078,1,right
641585,1,left
641585,1,right
649998,1,left
649998,1,right
656320,1,left
656320,1,right
662147,0,left
662147,0,right
663048,1,left
663048,1,right
670463,0,left
670463,0,right
671814,1,left
671814,1,right
672874,1,left
672874,1,right
690655,1,left
690655,1,right
692884,1,left
692884,1,right
693153,1,left
693153,1,right
695831,1,left
695831,1,right
718312,1,left
718312,1,right
721965,0,left
721965,0,right
726000,1,left
726000,1,right
726790,1,left
726790,1,right
728124,1,left
728124,1,right
730231,0,left
730231,0,right
749359,1,left
749359,1,right
755073,0,left
755073,0,right
760697,1,left
760697,1,right
767410,1,left
767410,1,right
767411,1,left
767411,1,right
768217,1,left
768217,1,right
769060,0,left
769060,0,right
770655,1,left
770655,1,right
774024,0,left
774024,0,right
778775,1,left
778775,1,right
783727,1,left
783727,1,right
788407,1,left
788407,1,right
792210,1,left
792210,1,right
802278,0,left
802278,0,right
802785,1,left
802785,1,right
808534,1,left
808534,1,right
810313,1,left
810313,1,right
811160,1,left
811160,1,right
812952,1,left
812952,1,right
813346,0,left
813346,0,right
817020,1,left
817020,1,right
822794,1,left
822794,1,right
822865,1,left
822865,1,right
823104,1,left
823104,1,right
827129,1,left
827129,1,right
828935,1,left
828935,1,right
836214,1,left
836214,1,right
847913,1,left
847913,1,right
848725,1,left
848725,1,right
856269,1,left
856269,1,right
856858,0,left
856858,0,right
866415,1,left
866415,1,right
867237,1,left
867237,1,right
867271,1,left
867271,1,right
868281,1,left
868281,1,right
883733,1,left
883733,1,right
886482,1,left
886482,1,right
893038,1,left
893038,1,right
902465,1,left
902465,1,right
908171,1,left
908171,1,right
916595,0,left
916595,0,right
918233,0,left
918233,0,right
921377,1,left
921377,1,right
921629,1,left
921629,1,right
931343,1,left
931343,1,right
938659,1,left
938659,1,right
942002,1,left
942002,1,right
947923,1,left
947923,1,right
951723,1,left
951723,1,right
961051,0,left
961051,0,right
962219,1,left
962219,1,right
963992,1,left
963992,1,right
965421,1,left
965421,1,right
966845,1,left
966845,1,right
972481,1,left
972481,1,right
974665,1,left
974665,1,right
983222,0,left
983222,0,right
986661,0,left
986661,0,right
988799,1,left
988799,1,right
992450,0,left
992450,0,right
